tweet_id,breed,breed_prob,retweet_count,favorite_count,source,name,rating,hour,weekday,date,month,year,dog_stage
666020888022790149,Welsh_springer_spaniel,0.465074,517,2564,Twitter for iPhone,None,8.0,22,Sunday,15,November,2015,None
666029285002620928,redbone,0.506826,47,130,Twitter for iPhone,None,7.0,23,Sunday,15,November,2015,None
666033412701032449,German_shepherd,0.596461,44,125,Twitter for iPhone,None,9.0,23,Sunday,15,November,2015,None
666044226329800704,Rhodesian_ridgeback,0.408143,141,299,Twitter for iPhone,None,6.0,0,Monday,16,November,2015,None
666049248165822465,miniature_pinscher,0.560311,41,109,Twitter for iPhone,None,5.0,0,Monday,16,November,2015,None
666050758794694657,Bernese_mountain_dog,0.651137,58,133,Twitter for iPhone,None,10.0,0,Monday,16,November,2015,None
666055525042405380,chow,0.692517,252,434,Twitter for iPhone,None,10.0,0,Monday,16,November,2015,None
666057090499244032,golden_retriever,0.00795896,142,297,Twitter for iPhone,None,9.0,0,Monday,16,November,2015,None
666058600524156928,miniature_poodle,0.201493,57,111,Twitter for iPhone,None,8.0,1,Monday,16,November,2015,None
666063827256086533,golden_retriever,0.77593,219,476,Twitter for iPhone,None,10.0,1,Monday,16,November,2015,None
666071193221509120,Gordon_setter,0.503672,62,148,Twitter for iPhone,None,9.0,1,Monday,16,November,2015,None
666073100786774016,Walker_hound,0.260857,164,322,Twitter for iPhone,None,10.0,1,Monday,16,November,2015,None
666082916733198337,pug,0.489814,45,119,Twitter for iPhone,None,6.0,2,Monday,16,November,2015,None
666094000022159362,bloodhound,0.195217,74,164,Twitter for iPhone,None,9.0,3,Monday,16,November,2015,None
666099513787052032,Lhasa,0.58233,68,155,Twitter for iPhone,None,8.0,3,Monday,16,November,2015,None
666102155909144576,English_setter,0.298617,13,80,Twitter for iPhone,None,11.0,3,Monday,16,November,2015,None
666273097616637952,Italian_greyhound,0.176053,76,175,Twitter for iPhone,None,11.0,15,Monday,16,November,2015,None
666287406224695296,Maltese_dog,0.8575309999999999,66,149,Twitter for iPhone,None,5.0,16,Monday,16,November,2015,None
666337882303524864,Newfoundland,0.278407,91,199,Twitter for iPhone,None,9.0,19,Monday,16,November,2015,None
666345417576210432,golden_retriever,0.8587440000000001,137,297,Twitter for iPhone,None,10.0,20,Monday,16,November,2015,None
666353288456101888,malamute,0.33687399999999995,73,221,Twitter for iPhone,None,8.0,20,Monday,16,November,2015,None
666373753744588802,soft-coated_wheaten_terrier,0.326467,93,189,Twitter for iPhone,None,11.0,21,Monday,16,November,2015,None
666396247373291520,Chihuahua,0.978108,85,168,Twitter for iPhone,None,9.0,23,Monday,16,November,2015,None
666407126856765440,black-and-tan_coonhound,0.529139,41,110,Twitter for iPhone,None,7.0,0,Tuesday,17,November,2015,None
666418789513326592,toy_terrier,0.14968,47,126,Twitter for iPhone,Walter,10.0,0,Tuesday,17,November,2015,None
666421158376562688,Blenheim_spaniel,0.906777,111,318,Twitter for iPhone,None,12.0,1,Tuesday,17,November,2015,None
666428276349472768,Pembroke,0.371361,84,165,Twitter for iPhone,None,7.0,1,Tuesday,17,November,2015,None
666430724426358785,Irish_terrier,0.104109,199,321,Twitter for iPhone,None,6.0,1,Tuesday,17,November,2015,None
666435652385423360,Chesapeake_Bay_retriever,0.18413,54,166,Twitter for iPhone,None,10.0,2,Tuesday,17,November,2015,None
666437273139982337,Chihuahua,0.6718529999999999,49,126,Twitter for iPhone,None,7.0,2,Tuesday,17,November,2015,None
666447344410484738,curly-coated_retriever,0.32208400000000004,21,105,Twitter for iPhone,Scout,9.0,2,Tuesday,17,November,2015,None
666454714377183233,dalmatian,0.278954,212,525,Twitter for iPhone,Kreggory,10.0,3,Tuesday,17,November,2015,None
666644823164719104,Ibizan_hound,0.0443334,84,234,Twitter for iPhone,Jimothy,9.0,15,Tuesday,17,November,2015,None
666649482315059201,Border_collie,0.447803,588,895,Twitter for iPhone,None,4.0,16,Tuesday,17,November,2015,None
666691418707132416,German_shepherd,0.975401,48,190,Twitter for iPhone,Christoper,8.0,18,Tuesday,17,November,2015,None
666701168228331520,Labrador_retriever,0.887707,222,438,Twitter for iPhone,None,8.0,19,Tuesday,17,November,2015,None
666739327293083650,miniature_poodle,0.546933,66,239,Twitter for iPhone,Lugan,10.0,22,Tuesday,17,November,2015,None
666776908487630848,miniature_pinscher,0.167175,178,356,Twitter for iPhone,Josep,5.0,0,Wednesday,18,November,2015,None
666781792255496192,Italian_greyhound,0.618316,203,395,Twitter for iPhone,None,10.0,0,Wednesday,18,November,2015,None
666804364988780544,English_setter,0.32879200000000003,94,244,Twitter for iPhone,Jockson,8.0,2,Wednesday,18,November,2015,None
666817836334096384,miniature_schnauzer,0.496953,258,528,Twitter for iPhone,Jeph,9.0,3,Wednesday,18,November,2015,None
666826780179869698,Maltese_dog,0.359383,98,257,Twitter for iPhone,None,12.0,3,Wednesday,18,November,2015,None
666835007768551424,Airedale,0.448459,80,219,Twitter for iPhone,None,10.0,4,Wednesday,18,November,2015,None
666996132027977728,Rottweiler,0.0624899,97,248,Twitter for iPhone,Carll,10.0,15,Wednesday,18,November,2015,None
667044094246576128,golden_retriever,0.765266,51,189,Twitter for iPhone,None,12.0,18,Wednesday,18,November,2015,None
667062181243039745,Chesapeake_Bay_retriever,0.825678,56,221,Twitter for iPhone,Keet,10.0,19,Wednesday,18,November,2015,None
667073648344346624,Chihuahua,0.483682,126,412,Twitter for iPhone,Dave,10.0,20,Wednesday,18,November,2015,None
667090893657276420,Chihuahua,0.959514,130,340,Twitter for iPhone,Clybe,7.0,21,Wednesday,18,November,2015,None
667119796878725120,Pembroke,0.741563,131,334,Twitter for iPhone,Gabe,10.0,23,Wednesday,18,November,2015,None
667138269671505920,West_Highland_white_terrier,0.747713,2290,4708,Twitter for iPhone,None,10.0,0,Thursday,19,November,2015,None
667152164079423490,toy_poodle,0.535411,17679,48810,Twitter for iPhone,Pipsy,12.0,1,Thursday,19,November,2015,None
667160273090932737,golden_retriever,0.471351,65,262,Twitter for iPhone,Bradlay,11.0,1,Thursday,19,November,2015,None
667165590075940865,miniature_pinscher,0.140173,1183,2746,Twitter for iPhone,Churlie,10.0,2,Thursday,19,November,2015,None
667171260800061440,giant_schnauzer,0.8412649999999999,93,226,Twitter for iPhone,Kenneth,10.0,2,Thursday,19,November,2015,None
667174963120574464,toy_poodle,0.266437,86,252,Twitter for iPhone,Clarence,9.0,2,Thursday,19,November,2015,None
667176164155375616,soft-coated_wheaten_terrier,0.318981,473,623,Twitter for iPhone,None,4.0,3,Thursday,19,November,2015,None
667177989038297088,vizsla,0.25924899999999995,57,193,Twitter for iPhone,None,8.0,3,Thursday,19,November,2015,None
667182792070062081,golden_retriever,0.949892,6423,14671,Twitter for iPhone,Timison,10.0,3,Thursday,19,November,2015,None
667192066997374976,Rottweiler,0.28364,109,396,Twitter for iPhone,None,12.0,4,Thursday,19,November,2015,None
667200525029539841,Siberian_husky,0.694904,269,626,Twitter for iPhone,Joshwa,11.0,4,Thursday,19,November,2015,None
667211855547486208,golden_retriever,0.462556,249,501,Twitter for iPhone,Genevieve,9.0,5,Thursday,19,November,2015,None
667393430834667520,papillon,0.557009,58,198,Twitter for iPhone,Fwed,8.0,17,Thursday,19,November,2015,None
667405339315146752,Saint_Bernard,0.381377,224,475,Twitter for iPhone,Biden,7.0,18,Thursday,19,November,2015,None
667435689202614272,Rottweiler,0.999091,85,310,Twitter for iPhone,None,12.0,20,Thursday,19,November,2015,None
667453023279554560,Labrador_retriever,0.8256700000000001,92,320,Twitter Web Client,Cupcake,11.0,21,Thursday,19,November,2015,None
667455448082227200,Tibetan_terrier,0.676376,65,194,Twitter Web Client,Reese,7.0,21,Thursday,19,November,2015,None
667470559035432960,toy_poodle,0.304175,100,264,Twitter Web Client,None,11.0,22,Thursday,19,November,2015,None
667491009379606528,borzoi,0.852088,235,547,Twitter Web Client,None,7.0,23,Thursday,19,November,2015,None
667495797102141441,Chihuahua,0.143957,284,540,Twitter Web Client,Philippe,9.0,0,Friday,20,November,2015,None
667502640335572993,Labrador_retriever,0.996709,226,544,Twitter Web Client,Hall,11.0,0,Friday,20,November,2015,None
667509364010450944,beagle,0.636169,2208,6947,Twitter Web Client,None,12.0,1,Friday,20,November,2015,None
667517642048163840,Italian_greyhound,0.125176,198,378,Twitter Web Client,Dook,8.0,1,Friday,20,November,2015,None
667524857454854144,Chesapeake_Bay_retriever,0.08812239999999999,1159,1744,Twitter Web Client,None,12.0,2,Friday,20,November,2015,None
667530908589760512,golden_retriever,0.633037,252,487,Twitter Web Client,Naphaniel,10.0,2,Friday,20,November,2015,None
667534815156183040,Pembroke,0.435254,557,840,Twitter Web Client,Frank,8.0,2,Friday,20,November,2015,None
667538891197542400,Yorkshire_terrier,0.618957,69,209,Twitter Web Client,None,9.0,3,Friday,20,November,2015,None
667544320556335104,Pomeranian,0.412893,544,888,Twitter Web Client,Kial,10.0,3,Friday,20,November,2015,None
667546741521195010,toy_poodle,0.787424,130,341,Twitter Web Client,George,9.0,3,Friday,20,November,2015,None
667728196545200128,kuvasz,0.360159,156,382,Twitter Web Client,Olive,11.0,15,Friday,20,November,2015,None
667773195014021121,West_Highland_white_terrier,0.360465,59,240,Twitter Web Client,None,8.0,18,Friday,20,November,2015,None
667793409583771648,dalmatian,0.5350729999999999,341,718,Twitter for iPhone,None,8.0,19,Friday,20,November,2015,None
667801013445750784,flat-coated_retriever,0.508392,97,338,Twitter for iPhone,None,12.0,20,Friday,20,November,2015,None
667806454573760512,Chihuahua,0.187155,519,1085,Twitter for iPhone,Filup,10.0,20,Friday,20,November,2015,None
667832474953625600,miniature_pinscher,0.2142,65,294,Twitter for iPhone,None,12.0,22,Friday,20,November,2015,None
667861340749471744,malamute,0.967275,81,249,Twitter for iPhone,None,9.0,0,Saturday,21,November,2015,None
667878741721415682,miniature_pinscher,0.106003,123,403,Twitter for iPhone,Tedrick,2.0,1,Saturday,21,November,2015,None
667885044254572545,malamute,0.0885297,508,844,Twitter for iPhone,Stu,10.0,1,Saturday,21,November,2015,None
667886921285246976,Pomeranian,0.8004319999999999,1138,1951,Twitter for iPhone,Erik,11.0,2,Saturday,21,November,2015,None
667902449697558528,Norwegian_elkhound,0.298881,390,870,Twitter for iPhone,Cleopatricia,9.0,3,Saturday,21,November,2015,None
667915453470232577,boxer,0.196655,58,217,Twitter for iPhone,Otis,10.0,4,Saturday,21,November,2015,None
667924896115245057,Labrador_retriever,0.209051,115,307,Twitter for iPhone,Jiminy,9.0,4,Saturday,21,November,2015,None
668113020489474048,Pembroke,0.548896,252,684,Twitter for iPhone,Alfie,6.0,17,Saturday,21,November,2015,None
668171859951755264,Chihuahua,0.664834,202,506,Twitter for iPhone,None,7.0,20,Saturday,21,November,2015,None
668190681446379520,Blenheim_spaniel,0.958402,203,669,Twitter for iPhone,Skittles,12.0,22,Saturday,21,November,2015,None
668204964695683073,Labrador_retriever,0.65518,201,567,Twitter for iPhone,Ron,8.0,23,Saturday,21,November,2015,None
668221241640230912,chow,0.395101,208,526,Twitter for iPhone,None,10.0,0,Sunday,22,November,2015,None
668237644992782336,chow,0.8093199999999999,2980,6408,Twitter for iPhone,Torque,10.0,1,Sunday,22,November,2015,None
